language,owner,source_symbol,source_signature,go_equivalent,disposition,phase,prerequisites,semantic_difference,conformance_test
C,global,rados_object_list_begin,CEPH_RADOS_API rados_object_list_cursor rados_object_list_begin( rados_ioctx_t io);,rados object iterator and cursor,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_object_list_cursor_cmp,"CEPH_RADOS_API int rados_object_list_cursor_cmp(rados_ioctx_t io, rados_object_list_cursor lhs, rados_object_list_cursor rhs);",rados object iterator and cursor,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_object_list_cursor_free,"CEPH_RADOS_API void rados_object_list_cursor_free(rados_ioctx_t io, rados_object_list_cursor cur);",rados object iterator and cursor,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_object_list_end,CEPH_RADOS_API rados_object_list_cursor rados_object_list_end(rados_ioctx_t io);,rados object iterator and cursor,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_object_list_free,"CEPH_RADOS_API void rados_object_list_free( const size_t result_size, rados_object_list_item *results);",rados object iterator and cursor,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_object_list_is_end,"CEPH_RADOS_API int rados_object_list_is_end(rados_ioctx_t io, rados_object_list_cursor cur);",rados object iterator and cursor,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_object_list_slice,"CEPH_RADOS_API void rados_object_list_slice(rados_ioctx_t io, const rados_object_list_cursor start, const rados_object_list_cursor finish, const size_t n, const size_t m, rados_object_list_cursor *split_start, rados_object_list_cursor *split_finish);",rados object iterator and cursor,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_objects_list_close,CEPH_RADOS_API void rados_objects_list_close( rados_list_ctx_t ctx) __attribute__((deprecated));,none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_objects_list_get_pg_hash_position,CEPH_RADOS_API uint32_t rados_objects_list_get_pg_hash_position( rados_list_ctx_t ctx) __attribute__((deprecated));,none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_objects_list_next,"CEPH_RADOS_API int rados_objects_list_next( rados_list_ctx_t ctx, const char **entry, const char **key) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_objects_list_open,"CEPH_RADOS_API int rados_objects_list_open( rados_ioctx_t io, rados_list_ctx_t *ctx) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_objects_list_seek,"CEPH_RADOS_API uint32_t rados_objects_list_seek( rados_list_ctx_t ctx, uint32_t pos) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_omap_get_end,CEPH_RADOS_API void rados_omap_get_end(rados_omap_iter_t iter);,rados metadata methods / operation builders,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_omap_get_next,"CEPH_RADOS_API int rados_omap_get_next(rados_omap_iter_t iter, char **key, char **val, size_t *len);",rados metadata methods / operation builders,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_omap_get_next2,"CEPH_RADOS_API int rados_omap_get_next2(rados_omap_iter_t iter, char **key, char **val, size_t *key_len, size_t *val_len);",rados metadata methods / operation builders,go-native,P08,completion of prior phases; see SPEC.md,"Go values, pages, and builders replace native iterator and allocation lifetimes","P08 ownership, pagination, and builder lifecycle tests"
C,global,rados_omap_iter_size,CEPH_RADOS_API unsigned int rados_omap_iter_size(rados_omap_iter_t iter);,rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_osd_command,"CEPH_RADOS_API int rados_osd_command(rados_t cluster, int osdid, const char **cmd, size_t cmdlen, const char *inbuf, size_t inbuflen, char **outbuf, size_t *outbuflen, char **outs, size_t *outslen);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_pg_command,"CEPH_RADOS_API int rados_pg_command(rados_t cluster, const char *pgstr, const char **cmd, size_t cmdlen, const char *inbuf, size_t inbuflen, char **outbuf, size_t *outbuflen, char **outs, size_t *outslen);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_ping_monitor,"CEPH_RADOS_API int rados_ping_monitor(rados_t cluster, const char *mon_id, char **outstr, size_t *outstrlen);",none,intentional-omission: discovery diagnostic absent from frozen v1 contract,P04,completion of prior phases; see SPEC.md,No distinct v1 behavior requires this native diagnostic or explicit map wait,P04 API inventory review; no runtime conformance claim
C,global,rados_pool_create,"CEPH_RADOS_API int rados_pool_create(rados_t cluster, const char *pool_name);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_pool_create_with_all,"CEPH_RADOS_API int rados_pool_create_with_all(rados_t cluster, const char *pool_name, uint64_t auid, uint8_t crush_rule_num) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_pool_create_with_auid,"CEPH_RADOS_API int rados_pool_create_with_auid(rados_t cluster, const char *pool_name, uint64_t auid) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_pool_create_with_crush_rule,"CEPH_RADOS_API int rados_pool_create_with_crush_rule(rados_t cluster, const char *pool_name, uint8_t crush_rule_num);",rados.Client administrative methods,intentional-omission: non-frozen P11 variant,P11,completion of prior phases; see SPEC.md,Not exposed by the certified P11 Go contract,P11 API inventory review; no runtime conformance claim
C,global,rados_pool_delete,"CEPH_RADOS_API int rados_pool_delete(rados_t cluster, const char *pool_name);",rados.Client administrative methods,implemented,P11,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned command and metadata results,P11 unit and live administrative interoperability tests
C,global,rados_pool_get_base_tier,"CEPH_RADOS_API int rados_pool_get_base_tier(rados_t cluster, int64_t pool, int64_t* base_tier);",none,deferred: legacy cache tier or service/log subscription API,P13,completion of prior phases; see SPEC.md,Outside the v1 scope defined by SPEC.md,future explicit qualification
C,global,rados_pool_list,"CEPH_RADOS_API int rados_pool_list(rados_t cluster, char *buf, size_t len);",rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_pool_lookup,"CEPH_RADOS_API int64_t rados_pool_lookup(rados_t cluster, const char *pool_name);",rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_pool_reverse_lookup,"CEPH_RADOS_API int rados_pool_reverse_lookup(rados_t cluster, int64_t id, char *buf, size_t maxlen);",rados.Client pool/map discovery methods,implemented,P04,completion of prior phases; see SPEC.md,Context-aware discovery returns Go-owned values and immutable pool views,P04 unit and live discovery tests
C,global,rados_read,"CEPH_RADOS_API int rados_read(rados_ioctx_t io, const char *oid, char *buf, size_t len, uint64_t off);",rados.ObjectRef.Read / rados.ObjectRef.Stat,implemented,P06,completion of prior phases; see SPEC.md,Context-aware reads return Go-owned data and ObjectInfo,P06 unit and live read/stat tests
C,global,rados_read_op_assert_exists,CEPH_RADOS_API void rados_read_op_assert_exists(rados_read_op_t read_op);,rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_assert_version,"CEPH_RADOS_API void rados_read_op_assert_version(rados_read_op_t read_op, uint64_t ver);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_checksum,"CEPH_RADOS_API void rados_read_op_checksum(rados_read_op_t read_op, rados_checksum_type_t type, const char *init_value, size_t init_value_len, uint64_t offset, size_t len, size_t chunk_size, char *pchecksum, size_t checksum_len, int *prval);",rados specialized object methods,implemented,P10,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned inputs and results,P10 unit and live specialized object interoperability tests
C,global,rados_read_op_cmpext,"CEPH_RADOS_API void rados_read_op_cmpext(rados_read_op_t read_op, const char *cmp_buf, size_t cmp_len, uint64_t off, int *prval);",rados.ReadOp / rados.WriteOp,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_read_op_cmpxattr,"CEPH_RADOS_API void rados_read_op_cmpxattr(rados_read_op_t read_op, const char *name, uint8_t comparison_operator, const char *value, size_t value_len);",rados metadata methods / operation builders,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_read_op_exec,"CEPH_RADOS_API void rados_read_op_exec(rados_read_op_t read_op, const char *cls, const char *method, const char *in_buf, size_t in_len, char **out_buf, size_t *out_len, int *prval);",rados class execution methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live class/lock/watch interoperability tests
C,global,rados_read_op_exec_user_buf,"CEPH_RADOS_API void rados_read_op_exec_user_buf(rados_read_op_t read_op, const char *cls, const char *method, const char *in_buf, size_t in_len, char *out_buf, size_t out_len, size_t *used_len, int *prval);",rados class execution methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live class/lock/watch interoperability tests
C,global,rados_read_op_getxattrs,"CEPH_RADOS_API void rados_read_op_getxattrs(rados_read_op_t read_op, rados_xattrs_iter_t *iter, int *prval);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_omap_cmp,"CEPH_RADOS_API void rados_read_op_omap_cmp(rados_read_op_t read_op, const char *key, uint8_t comparison_operator, const char *val, size_t val_len, int *prval);",rados metadata methods / operation builders,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_read_op_omap_cmp2,"CEPH_RADOS_API void rados_read_op_omap_cmp2(rados_read_op_t read_op, const char *key, uint8_t comparison_operator, const char *val, size_t key_len, size_t val_len, int *prval);",rados metadata methods / operation builders,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_read_op_omap_get_keys,"CEPH_RADOS_API void rados_read_op_omap_get_keys(rados_read_op_t read_op, const char *start_after, uint64_t max_return, rados_omap_iter_t *iter, int *prval) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_read_op_omap_get_keys2,"CEPH_RADOS_API void rados_read_op_omap_get_keys2(rados_read_op_t read_op, const char *start_after, uint64_t max_return, rados_omap_iter_t *iter, unsigned char *pmore, int *prval);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_omap_get_vals,"CEPH_RADOS_API void rados_read_op_omap_get_vals(rados_read_op_t read_op, const char *start_after, const char *filter_prefix, uint64_t max_return, rados_omap_iter_t *iter, int *prval) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_read_op_omap_get_vals2,"CEPH_RADOS_API void rados_read_op_omap_get_vals2(rados_read_op_t read_op, const char *start_after, const char *filter_prefix, uint64_t max_return, rados_omap_iter_t *iter, unsigned char *pmore, int *prval);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_omap_get_vals_by_keys,"CEPH_RADOS_API void rados_read_op_omap_get_vals_by_keys(rados_read_op_t read_op, char const* const* keys, size_t keys_len, rados_omap_iter_t *iter, int *prval);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_omap_get_vals_by_keys2,"CEPH_RADOS_API void rados_read_op_omap_get_vals_by_keys2(rados_read_op_t read_op, char const* const* keys, size_t num_keys, const size_t* key_lens, rados_omap_iter_t *iter, int *prval);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_operate,"CEPH_RADOS_API int rados_read_op_operate(rados_read_op_t read_op, rados_ioctx_t io, const char *oid, int flags);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_read,"CEPH_RADOS_API void rados_read_op_read(rados_read_op_t read_op, uint64_t offset, size_t len, char *buffer, size_t *bytes_read, int *prval);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_set_flags,"CEPH_RADOS_API void rados_read_op_set_flags(rados_read_op_t read_op, int flags);",rados.ReadOp.SetFlags,implemented,P08,replicated pools on certified Ceph 20.2.4,Exposes the qualified FAILOK sub-operation flag; rejects unknown flags,P08 unit and live compound FAILOK tests
C,global,rados_read_op_stat,"CEPH_RADOS_API void rados_read_op_stat(rados_read_op_t read_op, uint64_t *psize, time_t *pmtime, int *prval);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_read_op_stat2,"CEPH_RADOS_API void rados_read_op_stat2(rados_read_op_t read_op, uint64_t *psize, struct timespec *pmtime, int *prval);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_release_read_op,CEPH_RADOS_API void rados_release_read_op(rados_read_op_t read_op);,automatic Go memory ownership,go-native,P01,none,No public deallocator,ownership and leak tests
C,global,rados_release_write_op,CEPH_RADOS_API void rados_release_write_op(rados_write_op_t write_op);,automatic Go memory ownership,go-native,P01,none,No public deallocator,ownership and leak tests
C,global,rados_remove,"CEPH_RADOS_API int rados_remove(rados_ioctx_t io, const char *oid);",rados.ObjectRef.Remove,implemented,P07,replicated pools on certified Ceph 20.2.4,Context-aware and returns OpResult version,P07 native/Go CRUD and missing-object tests
C,global,rados_rmxattr,"CEPH_RADOS_API int rados_rmxattr(rados_ioctx_t io, const char *o, const char *name);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_rollback,"CEPH_RADOS_API int rados_rollback(rados_ioctx_t io, const char *oid, const char *snapname) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_service_register,"CEPH_RADOS_API int rados_service_register( rados_t cluster, const char *service, const char *daemon, const char *metadata_dict);",none,deferred: legacy cache tier or service/log subscription API,P13,completion of prior phases; see SPEC.md,Outside the v1 scope defined by SPEC.md,future explicit qualification
C,global,rados_service_update_status,"CEPH_RADOS_API int rados_service_update_status( rados_t cluster, const char *status_dict);",none,deferred: legacy cache tier or service/log subscription API,P13,completion of prior phases; see SPEC.md,Outside the v1 scope defined by SPEC.md,future explicit qualification
C,global,rados_set_alloc_hint,"CEPH_RADOS_API int rados_set_alloc_hint(rados_ioctx_t io, const char *o, uint64_t expected_object_size, uint64_t expected_write_size);",rados specialized object methods,implemented,P10,completion of prior phases; see SPEC.md,Context-aware Go values preserve native semantics with Go-owned inputs and results,P10 unit and live specialized object interoperability tests
C,global,rados_set_alloc_hint2,"CEPH_RADOS_API int rados_set_alloc_hint2(rados_ioctx_t io, const char *o, uint64_t expected_object_size, uint64_t expected_write_size, uint32_t flags);",rados specialized object methods,intentional-omission: non-frozen P10 variant,P10,completion of prior phases; see SPEC.md,Not exposed by the certified P10 Go contract,P10 API inventory review; no runtime conformance claim
C,global,rados_set_osdmap_full_try,CEPH_RADOS_API void rados_set_osdmap_full_try(rados_ioctx_t io) __attribute__((deprecated));,none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_set_pool_full_try,CEPH_RADOS_API void rados_set_pool_full_try(rados_ioctx_t io);,rados.ReadOp / rados.WriteOp,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_setxattr,"CEPH_RADOS_API int rados_setxattr(rados_ioctx_t io, const char *o, const char *name, const char *buf, size_t len);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_shutdown,CEPH_RADOS_API void rados_shutdown(rados_t cluster);,rados.Client / rados.Config lifecycle and configuration methods,implemented,P01/P04,completion of prior phases; see SPEC.md,"Typed, value-oriented configuration and context-aware lifecycle replace mutable native configuration",P01 lifecycle and P04 configuration tests
C,global,rados_stat,"CEPH_RADOS_API int rados_stat(rados_ioctx_t io, const char *o, uint64_t *psize, time_t *pmtime);",rados.ObjectRef.Read / rados.ObjectRef.Stat,implemented,P06,completion of prior phases; see SPEC.md,Context-aware reads return Go-owned data and ObjectInfo,P06 unit and live read/stat tests
C,global,rados_stat2,"CEPH_RADOS_API int rados_stat2(rados_ioctx_t io, const char *o, uint64_t *psize, struct timespec *pmtime);",rados.ObjectRef.Read / rados.ObjectRef.Stat,implemented,P06,completion of prior phases; see SPEC.md,Context-aware reads return Go-owned data and ObjectInfo,P06 unit and live read/stat tests
C,global,rados_trunc,"CEPH_RADOS_API int rados_trunc(rados_ioctx_t io, const char *oid, uint64_t size);",rados.ObjectRef.Truncate,implemented,P07,replicated pools on certified Ceph 20.2.4,Context-aware and returns OpResult version,P07 native/Go CRUD tests
C,global,rados_unlock,"CEPH_RADOS_API int rados_unlock(rados_ioctx_t io, const char *o, const char *name, const char *cookie);",rados lock methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live lock interoperability tests
C,global,rados_unset_osdmap_full_try,CEPH_RADOS_API void rados_unset_osdmap_full_try(rados_ioctx_t io) __attribute__((deprecated));,none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_unset_pool_full_try,CEPH_RADOS_API void rados_unset_pool_full_try(rados_ioctx_t io);,rados.ReadOp / rados.WriteOp,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_unwatch,"CEPH_RADOS_API int rados_unwatch(rados_ioctx_t io, const char *o, uint64_t cookie) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_unwatch2,"CEPH_RADOS_API int rados_unwatch2(rados_ioctx_t io, uint64_t cookie);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_version,"CEPH_RADOS_API void rados_version(int *major, int *minor, int *extra);",none,intentional-omission: version API absent from frozen v1 contract,P01,none,The pure-Go module does not report a linked librados version,P01 API inventory review; no runtime conformance claim
C,global,rados_wait_for_latest_osdmap,CEPH_RADOS_API int rados_wait_for_latest_osdmap(rados_t cluster);,none,intentional-omission: discovery diagnostic absent from frozen v1 contract,P04,completion of prior phases; see SPEC.md,No distinct v1 behavior requires this native diagnostic or explicit map wait,P04 API inventory review; no runtime conformance claim
C,global,rados_watch,"CEPH_RADOS_API int rados_watch(rados_ioctx_t io, const char *o, uint64_t ver, uint64_t *cookie, rados_watchcb_t watchcb, void *arg) __attribute__((deprecated));",none,intentional-omission: deprecated or legacy API without distinct v1 behavior,P13,completion of prior phases; see SPEC.md,No deprecated compatibility alias in the initial Go API,inventory review; no runtime conformance claim
C,global,rados_watch2,"CEPH_RADOS_API int rados_watch2(rados_ioctx_t io, const char *o, uint64_t *cookie, rados_watchcb2_t watchcb, rados_watcherrcb_t watcherrcb, void *arg);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_watch3,"CEPH_RADOS_API int rados_watch3(rados_ioctx_t io, const char *o, uint64_t *cookie, rados_watchcb2_t watchcb, rados_watcherrcb_t watcherrcb, uint32_t timeout, void *arg);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_watch_check,"CEPH_RADOS_API int rados_watch_check(rados_ioctx_t io, uint64_t cookie);",rados.Watch and notify methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live watch/notify interoperability tests
C,global,rados_watch_flush,CEPH_RADOS_API int rados_watch_flush(rados_t cluster);,rados.Watch and notify methods,go-native,P09,completion of prior phases; see SPEC.md,Watch draining and notify reply memory ownership are integrated into Go lifecycle and result semantics,P09 unit and live watch/notify interoperability tests
C,global,rados_write,"CEPH_RADOS_API int rados_write(rados_ioctx_t io, const char *oid, const char *buf, size_t len, uint64_t off);",rados.ObjectRef.Write,implemented,P07,replicated pools on certified Ceph 20.2.4,Checked offsets; copied input; returns OpResult version,P07 native/Go CRUD tests
C,global,rados_write_full,"CEPH_RADOS_API int rados_write_full(rados_ioctx_t io, const char *oid, const char *buf, size_t len);",rados.ObjectRef.WriteFull,implemented,P07,replicated pools on certified Ceph 20.2.4,Atomic full replacement; copied input; returns OpResult version,P07 native/Go CRUD and benchmark tests
C,global,rados_write_op_append,"CEPH_RADOS_API void rados_write_op_append(rados_write_op_t write_op, const char *buffer, size_t len);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_write_op_assert_exists,CEPH_RADOS_API void rados_write_op_assert_exists(rados_write_op_t write_op);,rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_write_op_assert_version,"CEPH_RADOS_API void rados_write_op_assert_version(rados_write_op_t write_op, uint64_t ver);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_write_op_cmpext,"CEPH_RADOS_API void rados_write_op_cmpext(rados_write_op_t write_op, const char *cmp_buf, size_t cmp_len, uint64_t off, int *prval);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_write_op_cmpxattr,"CEPH_RADOS_API void rados_write_op_cmpxattr(rados_write_op_t write_op, const char *name, uint8_t comparison_operator, const char *value, size_t value_len);",rados metadata methods / operation builders,intentional-omission: non-frozen P08 variant,P08,completion of prior phases; see SPEC.md,Not exposed by the certified P08 Go contract,P08 API inventory review; no runtime conformance claim
C,global,rados_write_op_create,"CEPH_RADOS_API void rados_write_op_create(rados_write_op_t write_op, int exclusive, const char* category);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_write_op_exec,"CEPH_RADOS_API void rados_write_op_exec(rados_write_op_t write_op, const char *cls, const char *method, const char *in_buf, size_t in_len, int *prval);",rados class execution methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live class/lock/watch interoperability tests
C,global,rados_write_op_omap_clear,CEPH_RADOS_API void rados_write_op_omap_clear(rados_write_op_t write_op);,rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_write_op_omap_cmp,"CEPH_RADOS_API void rados_write_op_omap_cmp(rados_write_op_t write_op, const char *key, uint8_t comparison_operator, const char *val, size_t val_len, int *prval);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
